,Model
Producto 273," ARIMA(1,0,2)(1,0,1)[12] intercept"
Producto 0," ARIMA(3,0,1)(0,0,0)[12] intercept"
Producto 1," ARIMA(1,0,1)(0,0,0)[12] intercept"
Producto 5," ARIMA(1,0,1)(0,0,0)[12] intercept"
Producto 8," ARIMA(2,0,1)(2,0,1)[12] intercept"
Producto 21," ARIMA(2,0,3)(1,0,0)[12] intercept"
Producto 12," ARIMA(2,0,0)(0,0,0)[12] intercept"
Producto 22," ARIMA(1,0,0)(0,0,0)[12] intercept"
Producto 186," ARIMA(2,0,1)(0,0,0)[12] intercept"
Producto 20," ARIMA(1,0,1)(0,0,0)[12] intercept"
Producto 33," ARIMA(3,0,0)(1,0,1)[12] intercept"
Producto 245," ARIMA(3,0,1)(0,0,0)[12] intercept"
Producto 16," ARIMA(2,0,0)(0,0,0)[12] intercept"
Producto 17," ARIMA(1,0,1)(0,0,0)[12] intercept"
Producto 38," ARIMA(0,0,0)(0,0,1)[12] intercept"
Producto 134," ARIMA(2,0,1)(0,0,0)[12]          "
Producto 37," ARIMA(1,0,1)(0,0,0)[12] intercept"
Producto 59," ARIMA(2,0,0)(1,0,1)[12] intercept"
Producto 248," ARIMA(3,0,1)(2,0,0)[12] intercept"
Producto 122," ARIMA(3,0,0)(2,0,2)[12] intercept"
